Designator, Val, Package, Mid X, Mid Y, Rotation, Layer
"D108","LED_RED","LED_0603_1608Metric_Castellated",82.550000,-83.185000,270.000000,top
"D109","LED_RED","LED_0603_1608Metric_Castellated",85.090000,-83.185000,270.000000,top
"D110","LED_RED","LED_0603_1608Metric_Castellated",87.630000,-83.185000,270.000000,top
"D111","LED_RED","LED_0603_1608Metric_Castellated",90.170000,-83.185000,270.000000,top
"D112","LED_RED","LED_0603_1608Metric_Castellated",92.710000,-83.185000,270.000000,top
"D113","LED_RED","LED_0603_1608Metric_Castellated",95.250000,-83.185000,270.000000,top
"D114","LED_RED","LED_0603_1608Metric_Castellated",97.790000,-83.185000,270.000000,top
"D115","LED_RED","LED_0603_1608Metric_Castellated",100.330000,-83.185000,270.000000,top
"D116","LED_RED","LED_0603_1608Metric_Castellated",102.870000,-83.185000,270.000000,top
"D117","LED_RED","LED_0603_1608Metric_Castellated",105.410000,-83.185000,270.000000,top
"D118","LED_RED","LED_0603_1608Metric_Castellated",107.950000,-83.185000,270.000000,top
"D119","LED_RED","LED_0603_1608Metric_Castellated",110.490000,-83.185000,270.000000,top
"D120","LED_RED","LED_0603_1608Metric_Castellated",113.030000,-83.185000,270.000000,top
"D121","LED_RED","LED_0603_1608Metric_Castellated",115.570000,-83.185000,270.000000,top
"D122","LED_RED","LED_0603_1608Metric_Castellated",118.110000,-83.185000,270.000000,top
"D123","LED_RED","LED_0603_1608Metric_Castellated",120.650000,-83.185000,270.000000,top
"D124","LED_RED","LED_0603_1608Metric_Castellated",123.190000,-83.185000,270.000000,top
"D125","LED_RED","LED_0603_1608Metric_Castellated",125.730000,-83.185000,270.000000,top
"D126","LED_RED","LED_0603_1608Metric_Castellated",128.270000,-83.185000,270.000000,top
"D127","LED_RED","LED_0603_1608Metric_Castellated",130.810000,-83.185000,270.000000,top
"D128","LED_RED","LED_0603_1608Metric_Castellated",133.350000,-83.185000,270.000000,top
"D129","D_1N4148WS","D_SOD-323F",71.120000,-73.660000,270.000000,top
"HT1","HT16K33","SOIC-28W_7.5x17.9mm_P1.27mm",83.820000,-71.755000,90.000000,top
"PLED1","LED_RED","LED_0603_1608Metric_Castellated",131.445000,-65.405000,180.000000,top
"R1","R_10K","R_0402_1005Metric",67.945000,-76.200000,180.000000,top
"R2","R_10K","R_0402_1005Metric",67.945000,-73.660000,180.000000,top
"R3","R_10K","R_0402_1005Metric",67.945000,-71.120000,180.000000,top
"R4","R_10K","R_0402_1005Metric",119.380000,-71.120000,180.000000,top
"R5","R_10K","R_0402_1005Metric",119.380000,-73.660000,180.000000,top
"R6","R_10K","R_0402_1005Metric",119.380000,-76.200000,180.000000,top
"R7","R_330R","R_0402_1005Metric",127.635000,-65.405000,180.000000,top
"U1","MCP23017_SO","SOIC-28W_7.5x17.9mm_P1.27mm",106.680000,-71.755000,90.000000,top
